date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:42:30	490/490	---MCZ	200	added ('OK')	text/plain	etag:cacheable:f296ca62b04fb163ffdcfac058c5d9db	https://www.ushoperra.com/robots.txt		(from )
07:42:30	119082/119082	---MCZ	200	added ('OK')	text/html	etag:cacheable:32793aa5fa2861a416109893f3c3a4bd	https://www.ushoperra.com/	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/index.html	(from )
07:42:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:30%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.scss.css?v=184128017730125504271651288959	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.scss.0a133.delayed	(from https://www.ushoperra.com/)
07:42:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:32%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/jquery-2.2.3.min.js?v=171730250359325013191650846382	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/jquery-2.2.3.min5b8f.js	(from https://www.ushoperra.com/)
07:42:32	245448/245448	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2007:41:23%20GMT	https://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.scss.css?v=184128017730125504271651288959	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.scssa133.css	(from https://www.ushoperra.com/)
07:42:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:32%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.min.js?v=137575169901029117611650846382	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.minfa45.js	(from https://www.ushoperra.com/)
07:42:33	85658/85658	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2014%20May%202022%2007:42:32%20GMT	https://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/jquery-2.2.3.min.js?v=171730250359325013191650846382	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/jquery-2.2.3.min5b8f.js	(from https://www.ushoperra.com/)
07:42:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:34%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/lazysizes.min.js?v=46221891067352676611650846349	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/lazysizes.min2351.js	(from https://www.ushoperra.com/)
07:42:34	154427/154427	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2014%20May%202022%2007:41:22%20GMT	https://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.min.js?v=137575169901029117611650846382	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/theme.minfa45.js	(from https://www.ushoperra.com/)
07:42:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:35%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/files/Ushoperra_favicon_100x100_crop_center.png?v=1650925518	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/files/Ushoperra_favicon_100x100_crop_center62b9.png	(from https://www.ushoperra.com/)
